"Title: ","Concierto en Bilbao — Rosendo Mercado"
"URL: ","http://localhost:8000/Desktop/LIMA/RosendoV3/gira/bilbao/index.html"
"Ruleset: ","WCAG 2.2, Levels A, AA and enhanced CCR"
"Scope: ","All Rules"
"View: ","rules-all"
"Date:","9/2/2026"
"Time:","2:26:11"
"AInspector Version:","4.1.3"


"Rule Summary: All Rules"
"Violations","0"
"Warnings","1"
"Manual Checks","45"
"Passed","34"


"Rule Category","Violations","Warnings","Manual Checks","Passed"
"Landmarks","0","0","1","13",
"Headings","0","0","0","5",
"Color/Content","0","1","8","3",
"Images","0","0","3","3",
"Links","0","0","3","2",
"Tables/Layout","0","0","4","5",
"Forms","0","0","1","0",
"ARIA Widgets","0","0","6","2",
"Audio/Video","0","0","1","0",
"Keyboard Support","0","0","7","0",
"Timing/Live Regions","0","0","4","0",
"Site Navigation","0","0","7","1",
"All Rules","0","1","45","34",


"WCAG Guideline","Violations","Warnings","Manual Checks","Passed"
"Guideline 1.1 Text Alternatives","0","0","3","3",
"Guideline 1.2 Time-based Media","0","0","0","0",
"Guideline 1.3 Adaptable","0","0","5","13",
"Guideline 1.4 Distinguishable","0","1","8","1",
"Guideline 2.1 Keyboard Accessible","0","0","1","0",
"Guideline 2.2 Enough Time","0","0","2","0",
"Guideline 2.3 Seizures and Physical Reactions","0","0","1","0",
"Guideline 2.4 Navigable","0","0","10","12",
"Guideline 2.5 Input Modalities","0","0","5","2",
"Guideline 3.1 Readable","0","0","1","1",
"Guideline 3.2 Predictable","0","0","6","0",
"Guideline 3.3 Input Assistance","0","0","1","0",
"Guideline 4.1 Compatible","0","0","2","2",
"All Rules","0","1","45","34",


"Rule Results: All Rules"
"Rule ID","Rule Summary","Result","Result Value","Rule Scope","Category","Guideline","Success Criteria","Level","Required","Violations","Warnings","Manual Checks","Passed","Hidden"
"Heading 7","First landmark heading H2","N/A","1","Element","Headings","Guideline 1.3 Adaptable","1.3.1","A","","0","0","0","0","0"
"Help 1","Consistent ordering of help","MC","3","Website","Site Navigation","Guideline 3.2 Predictable","3.2.6","AA","Yes","0","0","1","0","0"
"HTML 1","Replace MARQUEE elements","N/A","1","Element","Color/Content","Guideline 2.3 Seizures and Physical Reactions","2.3.1","A","Yes","0","0","0","0","0"
"Image 1","Images must have alt text","P","2","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","0","11","0"
"Image 2","Alt text must summarize purpose","MC","3","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","11","0","0"
"Image 3","Alt text must not include filename","P","2","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","0","11","0"
"Image 4","Alt text no more than 100 characters","P","2","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","0","11","0"
"Image 5","Image is decorative","N/A","1","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","0","0","0"
"Image 6","Long description for complex images","MC","3","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","11","0","0"
"Image 7","Use MathJax for mathematical expressions","MC","3","Element","Images","Guideline 1.1 Text Alternatives","1.1.1","A","Yes","0","0","11","0","0"
"Image 8","Add role to SVG element","N/A","1","Element","Images","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Keyboard 1","ARIA widget keyboard support","N/A","1","Element","Keyboard Support","Guideline 2.1 Keyboard Accessible","2.1.1","A","Yes","0","0","0","0","0"
"Keyboard 2","Sequential tab order of focusable elements must be meaningful","MC","3","Page","Keyboard Support","Guideline 2.4 Navigable","2.4.3","A","Yes","0","0","2","10","0"
"Keyboard 3","No keyboard trap","N/A","1","Element","Keyboard Support","Guideline 2.1 Keyboard Accessible","2.1.2","A","Yes","0","0","0","0","0"
"Keyboard 4","Avoid TABINDEX > 0","N/A","1","Element","Keyboard Support","Guideline 2.1 Keyboard Accessible","2.1.2","A","Yes","0","0","0","0","0"
"Keyboard 5","Focus must be discernible","MC","3","Page","Keyboard Support","Guideline 2.4 Navigable","2.4.7","AA","Yes","0","0","12","0","0"
"Keyboard 6","SELECT must not change context","N/A","1","Element","Keyboard Support","Guideline 3.2 Predictable","3.2.2","A","Yes","0","0","0","0","0"
"Keyboard 7","Content on Hover or Focus","MC","3","Page","Keyboard Support","Guideline 1.4 Distinguishable","1.4.13","AA","Yes","0","0","1","0","0"
"Keyboard 8","Focus Order","MC","3","Page","Keyboard Support","Guideline 2.4 Navigable","2.4.3","A","Yes","0","0","1","0","0"
"Keyboard 9","Focus is not obscured (Minimum)","MC","3","Page","Keyboard Support","Guideline 2.4 Navigable","2.4.11","AA","Yes","0","0","1","0","0"
"Landmark 1","MAIN landmark: at least one","P","2","Page","Landmarks","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","2","0"
"Landmark 2","All content must be contained in landmarks","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","54","0"
"Landmark 3","NAVIGATION landmark: at least one","P","2","Website","Landmarks","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","2","0"
"Landmark 4","BANNER landmark: identifies branding content","P","2","Page","Landmarks","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","2","0"
"Landmark 5","BANNER landmark: no more than one","P","2","Page","Landmarks","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","2","0"
"Landmark 6","CONTENTINFO landmark: identifies admin content","P","2","Page","Landmarks","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","2","0"
"Landmark 7","CONTENTINFO landmark: no more than one","P","2","Page","Landmarks","Guideline 2.4 Navigable","2.4.1","A","Yes","0","0","0","2","0"
"Landmark 8","BANNER landmark: must be top-level","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","","0","0","0","1","0"
"Landmark 9","BANNER landmark: restrictions","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","2","0"
"Landmark 10","NAVIGATION landmark: restrictions","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","1","0"
"Landmark 11","MAIN landmark: must be top-level","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","1","0"
"Landmark 12","CONTENTINFO landmark: must be top-level","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","1","0"
"Landmark 13","CONTENTINFO landmark: restrictions","P","2","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","1","0"
"Landmark 14","SEARCH landmark: restrictions","N/A","1","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","0","0"
"Landmark 15","FORM landmark: restrictions","N/A","1","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","0","0"
"Landmark 16","REGION landmark must have accessible name","N/A","1","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","0","0"
"Landmark 17","Landmarks must be uniquely identifiable","N/A","1","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","0","0"
"Landmark 18","Landmarks must identify content regions","MC","3","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","4","0","0"
"Landmark 19","COMPLEMENTARY landmark: must be top level","N/A","1","Element","Landmarks","Guideline 1.3 Adaptable","1.3.1","A","","0","0","0","0","0"
"Language 1","Page must use language code","P","2","Page","Color/Content","Guideline 3.1 Readable","3.1.1","A","Yes","0","0","0","1","0"
"Language 2","Identify language changes","MC","3","Page","Color/Content","Guideline 3.1 Readable","3.1.2","AA","Yes","0","0","1","0","0"
"Layout 1","Layout tables must have meaningful sequence","N/A","1","Page","Tables/Layout","Guideline 1.3 Adaptable","1.3.2","A","Yes","0","0","0","0","0"
"Layout 2","Do not nest layout tables","N/A","1","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.2","A","Yes","0","0","0","0","0"
"Layout 3","ARIA-FLOWTO changes reading order","N/A","1","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.2","A","Yes","0","0","0","0","0"
"Layout 4","Do not restrict view or operation.","MC","3","Page","Tables/Layout","Guideline 1.3 Adaptable","1.3.4","AA","Yes","0","0","1","0","0"
"Link 1","Link text must describe the link target","MC","3","Element","Links","Guideline 2.4 Navigable","2.4.4","A","Yes","0","0","10","0","0"
"Link 2","Link text should be unique","N/A","1","Element","Links","Guideline 2.4 Navigable","2.4.4","A","","0","0","0","0","0"
"Link 3","Target focus should be in content window","MC","3","Element","Links","Guideline 3.2 Predictable","3.2.1","A","Yes","0","0","10","0","0"
"Link 4","Label in name for links","MC","3","Element","Links","Guideline 2.5 Input Modalities","2.5.3","A","Yes","0","0","3","0","0"
"List 1","Use semantic markup for lists","MC","3","Page","Color/Content","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","8","0","0"
"List 2","Provide list labels when appropriate","MC","3","Element","Color/Content","Guideline 2.4 Navigable","2.4.6","AA","Yes","0","0","1","0","0"
"Live 1","Live regions for status and error messages","MC","3","Page","Timing/Live Regions","Guideline 4.1 Compatible","4.1.3","AA","Yes","0","0","2","0","0"
"Motion 1","Motion Actuation","MC","3","Page","ARIA Widgets","Guideline 2.5 Input Modalities","2.5.4","A","Yes","0","0","1","0","0"
"Navigation 1","At least two ways of finding content","MC","3","Website","Site Navigation","Guideline 2.4 Navigable","2.4.5","AA","Yes","0","0","2","0","0"
"Navigation 2","Consistent ordering of landmarks","MC","3","Website","Site Navigation","Guideline 3.2 Predictable","3.2.3","AA","Yes","0","0","5","0","0"
"Navigation 3","Consistent ordering of H1 and H2 labels","MC","3","Website","Site Navigation","Guideline 3.2 Predictable","3.2.3","AA","Yes","0","0","3","0","0"
"Navigation 4","Consistent labeling of landmarks","MC","3","Website","Site Navigation","Guideline 3.2 Predictable","3.2.4","AA","Yes","0","0","5","0","0"
"Navigation 5","Consistent H1 and H2 page section labels","MC","3","Website","Site Navigation","Guideline 3.2 Predictable","3.2.4","AA","Yes","0","0","3","0","0"
"Pointer 1","Pointer Gestures","MC","3","Page","ARIA Widgets","Guideline 2.5 Input Modalities","2.5.1","A","Yes","0","0","1","0","0"
"Pointer 2","Pointer Cancellation","MC","3","Page","ARIA Widgets","Guideline 2.5 Input Modalities","2.5.2","A","Yes","0","0","1","0","0"
"Pointer 3","Dragging Movements","MC","3","Page","ARIA Widgets","Guideline 2.5 Input Modalities","2.5.7","AA","Yes","0","0","1","0","0"
"Order 1","Reading order: CSS positioning","N/A","1","Element","Color/Content","Guideline 1.3 Adaptable","1.3.2","A","Yes","0","0","0","0","0"
"Resize 1","Resize text content","MC","3","Page","Tables/Layout","Guideline 1.4 Distinguishable","1.4.4","AA","Yes","0","0","1","0","0"
"Resize 2","Support small screen dimensions","MC","3","Page","Tables/Layout","Guideline 1.4 Distinguishable","1.4.10","AA","Yes","0","0","1","0","0"
"Sensory 1","Not only shape, size and location","MC","3","Page","Color/Content","Guideline 1.3 Adaptable","1.3.3","A","Yes","0","0","1","0","0"
"Shortcut 1","Character Key Shortcuts","MC","3","Page","Keyboard Support","Guideline 2.1 Keyboard Accessible","2.1.4","A","Yes","0","0","1","0","0"
"Shortcut 2","Avoid using ACCESSKEY for shortcuts","N/A","1","Element","Keyboard Support","Guideline 2.1 Keyboard Accessible","2.1.4","A","Yes","0","0","0","0","0"
"Spacing 1","Text Spacing","MC","3","Page","Color/Content","Guideline 1.4 Distinguishable","1.4.12","AA","Yes","0","0","1","0","0"
"Table 1","Data cells must have row/column headers","P","2","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","6","0"
"Table 2","Data tables must have name","P","2","Element","Tables/Layout","Guideline 2.4 Navigable","2.4.6","AA","Yes","0","0","0","1","0"
"Table 3","Data tables may have description","MC","3","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","1","0","0"
"Table 4","Data tables should have unique names","P","2","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","1","0"
"Table 5","Identify table markup as data or layout","P","2","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","1","0"
"Table 6","Header cells should be TH elements","P","2","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","","0","0","0","2","0"
"Table 7","Data cells must use HEADERS attribute","N/A","1","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","0","0"
"Table 8","Name must be different than description","N/A","1","Element","Tables/Layout","Guideline 1.3 Adaptable","1.3.1","A","Yes","0","0","0","0","0"
"Target Size 1","Author sizing of links (Minimum)","P","2","Element","Links","Guideline 2.5 Input Modalities","2.5.8","AA","Yes","0","0","0","7","0"
"Target Size 2","Author sizing of links (Enhanced)","P","2","Element","Links","Guideline 2.5 Input Modalities","2.5.5","AAA","","0","0","0","7","0"
"Target Size 3","Button target size (Minimum)","N/A","1","Element","Forms","Guideline 2.5 Input Modalities","2.5.8","AA","Yes","0","0","0","0","0"
"Target Size 4","Button target size (Enhanced)","N/A","1","Element","Forms","Guideline 2.5 Input Modalities","2.5.5","AAA","","0","0","0","0","0"
"Target Size 5","Radio button and checkbox target size (Minimum)","N/A","1","Element","Forms","Guideline 2.5 Input Modalities","2.5.8","AA","Yes","0","0","0","0","0"
"Target Size 6","Radio button and checkbox target size (Enhanced)","N/A","1","Element","Forms","Guideline 2.5 Input Modalities","2.5.5","AAA","","0","0","0","0","0"
"Title 1","TITLE must identify website and page","MC","3","Page","Site Navigation","Guideline 2.4 Navigable","2.4.2","A","Yes","0","0","1","0","0"
"Title 2","H1 must match part of the TITLE","P","2","Page","Site Navigation","Guideline 2.4 Navigable","2.4.2","A","Yes","0","0","0","2","0"
"Timing 1","Control time limits","MC","3","Page","Timing/Live Regions","Guideline 2.2 Enough Time","2.2.1","A","Yes","0","0","1","0","0"
"Timing 2","Control moving, blinking or auto-updating content","MC","3","Page","Timing/Live Regions","Guideline 2.2 Enough Time","2.2.2","A","Yes","0","0","12","0","0"
"Timing 3","Flashing limits","MC","3","Page","Timing/Live Regions","Guideline 2.3 Seizures and Physical Reactions","2.3.1","A","Yes","0","0","12","0","0"
"Video 1","Video-only (Prerecorded)","N/A","1","Element","Audio/Video","Guideline 1.2 Time-based Media","1.2.1","A","Yes","0","0","0","0","0"
"Video 2","Captions (Prerecorded)","N/A","1","Element","Audio/Video","Guideline 1.2 Time-based Media","1.2.2","A","Yes","0","0","0","0","0"
"Video 3","Audio Description or Media Alternative (Prerecorded)","N/A","1","Element","Audio/Video","Guideline 1.2 Time-based Media","1.2.3","A","Yes","0","0","0","0","0"
"Video 4","Captions (Live)","N/A","1","Element","Audio/Video","Guideline 1.2 Time-based Media","1.2.4","AA","Yes","0","0","0","0","0"
"Video 5","Audio Description (Prerecorded)","N/A","1","Element","Audio/Video","Guideline 1.2 Time-based Media","1.2.5","AA","Yes","0","0","0","0","0"
"Widget 1","Accessible name is required","MC","3","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","1","0","0"
"Widget 2","ONCLICK event handlers must have widget role","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 3","ROLE must be valid","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 4","Values must be valid","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 5","Attributes that start with ARIA- must be defined.","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 6","Widgets must set properties","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 7","Widgets must have owned elements","P","2","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","8","0"
"Widget 8","Role must have parent","P","2","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","21","0"
"Widget 9","Only one owner","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 10","Value in range","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 11","Verify ARIA-VALUETEXT value.","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 12","Accessible name is descriptive","MC","3","Element","ARIA Widgets","Guideline 2.4 Navigable","2.4.6","AA","Yes","0","0","11","0","0"
"Widget 13","Role does not support accessible name.","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.2","A","Yes","0","0","0","0","0"
"Widget 14","Unsupported and deprecated ARIA attributes.","N/A","1","Element","ARIA Widgets","Guideline 4.1 Compatible","4.1.1","A","Yes","0","0","0","0","0"
"Widget 15","Closed shadow DOM requires manual check.","N/A","1","Element","ARIA Widgets","Guideline 2.1 Keyboard Accessible","2.1.1","A","Yes","0","0","0","0","0"
